,Vehicle Name,Price,Mileage,Dealer Name,Link
0,2023 Mazda CX-50 2.5 S Preferred Plus Package,"$34,560","2,466 mi.","
Rudolph Mazda
",http://www.cars.com/vehicledetail/4e991f0f-2b72-4115-b9cf-082c3cbaddb3/
1,2022 Audi SQ5 3.0T Premium,"$57,900","8,012 mi.","
Audi Modesto
",http://www.cars.com/vehicledetail/93e2f1ce-911d-4609-9a25-2db0fc63a38d/
2,2021 Volkswagen Arteon 2.0T SE,"$34,990","3,815 mi.","
Central Valley Hyundai
",http://www.cars.com/vehicledetail/f825a23e-b263-406c-ab8e-df6a188e7c51/
3,2015 Jeep Wrangler Unlimited Rubicon,"$32,999","64,050 mi.","
Blue Diamond Auto-Ceres
",http://www.cars.com/vehicledetail/1ddcae84-34ee-4cee-9242-116787abe5b2/
4,2022 Kia Telluride S,"$41,998",134 mi.,"
Arapahoe Kia
",http://www.cars.com/vehicledetail/313acbdb-f57d-4b84-9b2c-d9bbf2414e1c/
5,2023 Acura MDX Technology,"$53,814","6,628 mi.","
Vandergriff Acura
",http://www.cars.com/vehicledetail/1f6ca32f-29db-4a52-8675-3518fbf6759b/
6,2023 Acura MDX Technology,"$54,975","1,524 mi.","
Vandergriff Acura
",http://www.cars.com/vehicledetail/7a390938-908a-4611-a1f6-dfcf051dfe6f/
7,2023 Acura MDX Technology,"$55,794","2,942 mi.","
Vandergriff Acura
",http://www.cars.com/vehicledetail/ce40529c-a222-4a16-a864-faad79a083ff/
8,2023 Acura MDX Advance,"$64,695",5 mi.,"
Vandergriff Acura
",http://www.cars.com/vehicledetail/d76a0583-a248-4b9b-86ea-5e6c74dc1fca/
9,2023 Acura MDX Technology,"$54,580","3,797 mi.","
Vandergriff Acura
",http://www.cars.com/vehicledetail/588fcd34-f638-4d4f-b4f5-6af87fdc6948/
10,2023 Acura MDX A-Spec,"$59,591","3,498 mi.","
Vandergriff Acura
",http://www.cars.com/vehicledetail/759504da-72a6-4a39-8fb2-4012f62af92e/
11,2023 Acura MDX Advance,"$64,695",944 mi.,"
Vandergriff Acura
",http://www.cars.com/vehicledetail/f4ca5c4a-77bd-4e78-875b-e2e7019fa2bb/
12,2023 Acura MDX Advance,"$63,763","1,306 mi.","
Vandergriff Acura
",http://www.cars.com/vehicledetail/bd252cd3-f4bf-4436-bf24-b338abec21ca/
13,2023 Acura MDX Advance,"$64,584",457 mi.,"
Vandergriff Acura
",http://www.cars.com/vehicledetail/6edd0cfd-e321-4a0e-a34c-2922f82ba9bb/
14,2022 Volkswagen Atlas 3.6L SE w/Technology,"$46,355","10,301 mi.","
Don Thornton Volkswagen of Tulsa
",http://www.cars.com/vehicledetail/4e1e8844-03af-47ad-8322-f6bb3c3020ca/
15,2022 Volkswagen Atlas 2.0T SE,"$38,370","9,072 mi.","
Don Thornton Volkswagen of Tulsa
",http://www.cars.com/vehicledetail/c31ee430-b029-4c9a-91ab-d394836bff16/
16,2022 Ford Explorer Timberline,"$48,000","4,535 mi.","
Jimmy Michel Motors
",http://www.cars.com/vehicledetail/5e11ebd9-a20c-44e4-b463-3554ff8f0f22/
17,2020 Ford Expedition Max Limited,"$62,430","28,077 mi.","
Jensen Ford Lincoln
",http://www.cars.com/vehicledetail/fe44d6ad-d5b6-46d1-8a2d-01932857b6c8/
18,2022 BMW X7 M50i,"$112,820","3,884 mi.","
BMW MINI of Clear Lake
",http://www.cars.com/vehicledetail/f0cde3bb-2ac1-470a-9c9a-5c75fc9268d2/
19,2022 Cadillac CT5-V V-Series Blackwing,"$109,999","2,025 mi.","
Cappellino Cadillac
",http://www.cars.com/vehicledetail/4af6b2c8-1507-46d1-bbde-fb2e114e389c/
20,2023 Honda Odyssey Touring,"$79,888",14 mi.,"
Jerry's Toyota
",http://www.cars.com/vehicledetail/ef98f3e5-151e-4044-93ae-510cc87cd849/
21,2017 Lincoln Navigator Select,"$31,999","85,311 mi.","
Merchant Nissan
",http://www.cars.com/vehicledetail/b9195f77-97b2-43c9-a360-56b853bbde6f/
22,2019 Mercedes-Benz AMG G 63 Base,"$165,999","24,348 mi.","
Auto Resources
",http://www.cars.com/vehicledetail/b6367971-6018-4849-950b-1829f1db8420/
23,2019 Volkswagen Golf 1.4T SE,"$19,999","62,790 mi.","
Auto Resources
",http://www.cars.com/vehicledetail/8b394919-80c5-4d91-8a4e-43b508e7e1df/
24,2016 Subaru Impreza 2.0i,"$19,991","15,293 mi.","
Livermore Subaru
",http://www.cars.com/vehicledetail/b3e859f0-35e5-4b6a-b9fa-9ee5afe35969/
25,2022 Volvo XC90 Recharge Plug-In Hybrid T8 Inscription 6 Passenger,"$70,988","12,256 mi.","
Audi Livermore
",http://www.cars.com/vehicledetail/bfb69285-2183-4d86-b4b6-c787ab82ce12/
26,2018 Land Rover Range Rover Evoque Landmark Edition,"$31,000","24,950 mi.","
Land Rover Livermore
",http://www.cars.com/vehicledetail/526d109c-c9ae-4a06-b62f-f3ddf4699534/
