,name,price,mileage,dealer_name,carURL
10,Used 2021 Lexus LC 500 Coupe,"93,777","6,266 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=651995574&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
11,Used 2022 Volkswagen Taos SE,"28,649","4,917 miles",Central Valley Volkswagen (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663742465&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
12,Used 2013 Lexus IS 250,"18,988","71,829 miles",Valley Lexus (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=664038870&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
13,Certified 2016 Lexus IS 200t,"27,888","48,343 miles",Valley Lexus (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663541814&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
14,Used 2020 Lexus NX 300h AWD,"43,988","14,698 miles",Valley Lexus (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663778959&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
15,Used 2021 BMW X1 xDrive28i,"34,782","13,997 miles",Valley BMW (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663339566&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
16,Used 2019 Nissan Sentra SV,"21,914","12,649 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=652664529&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
17,Used 2017 Lexus ES 350,"26,780","55,647 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=658197196&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
18,Used 2018 Audi Q5 2.0T Premium Plus,"28,995","51,838 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663892536&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
19,Used 2015 Ford Mustang GT Premium,"34,990","10,889 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=657573869&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
