,name,price,mileage,dealer_name,carURL
41,Used 2019 Nissan Sentra SV,"21,914","12,649 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=652664529&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=2&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D2&clickType=listing
42,Used 2017 Lexus ES 350,"26,780","55,647 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=658197196&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=2&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D2&clickType=listing
43,Used 2018 Audi Q5 2.0T Premium Plus,"28,995","51,838 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663892536&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=2&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D2&clickType=listing
44,Used 2015 Ford Mustang GT Premium,"34,990","10,889 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=657573869&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=2&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D2&clickType=listing
45,Used 2020 Lexus IS 300 F Sport,"35,711","21,458 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=653776834&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=2&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D2&clickType=listing
46,Used 2022 Honda CR-V EX-L,"35,988","11,347 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=660593196&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=2&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D2&clickType=listing
47,Certified 2019 Toyota RAV4 Adventure,"35,990","36,698 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=657573885&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=2&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D2&clickType=listing
48,Certified 2020 Toyota RAV4 Limited,"40,995","12,602 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=662614378&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=2&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D2&clickType=listing
49,Certified 2022 Toyota Highlander XLE,"42,955",289 miles,Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=662782878&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=2&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D2&clickType=listing
50,Certified 2022 Chevrolet Silverado 2500 High Country,"77,599","4,832 miles",American Chevrolet (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663624316&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
51,Used 2013 Toyota Sienna XLE,"20,911","81,203 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663604434&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
52,Used 2018 Audi A6 2.0T Premium,"30,917","25,844 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=652664523&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
53,Used 2017 Lexus RX 350 FWD,"30,970","47,539 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=648064111&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
54,Used 2021 Subaru Forester Limited,"33,911","8,048 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=644199217&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
55,Used 2019 Lexus IS 300,"34,737","18,307 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=655315644&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
56,Used 2017 INFINITI Q60 3.0t,"35,777","16,647 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=642353901&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
57,Used 2021 Tesla Model 3 Standard Range Plus,"48,980","5,542 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=661669716&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
58,Used 2016 Tesla Model S 75,"52,780","44,831 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=657573867&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
59,Used 2021 RAM 1500 Rebel,"53,771","9,042 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=652664540&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
60,Used 2021 Lexus LC 500 Coupe,"93,777","6,266 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=651995574&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
61,Used 2022 Volkswagen Taos SE,"28,649","4,917 miles",Central Valley Volkswagen (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663742465&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
62,Used 2013 Lexus IS 250,"18,988","71,829 miles",Valley Lexus (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=664038870&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
63,Certified 2016 Lexus IS 200t,"27,888","48,343 miles",Valley Lexus (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663541814&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
64,Used 2020 Lexus NX 300h AWD,"43,988","14,698 miles",Valley Lexus (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663778959&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
65,Used 2021 BMW X1 xDrive28i,"34,782","13,997 miles",Valley BMW (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663339566&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
66,Used 2019 Nissan Sentra SV,"21,914","12,649 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=652664529&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
67,Used 2017 Lexus ES 350,"26,780","55,647 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=658197196&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
68,Used 2018 Audi Q5 2.0T Premium Plus,"28,995","51,838 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663892536&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
69,Used 2015 Ford Mustang GT Premium,"34,990","10,889 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=657573869&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
70,Used 2020 Lexus IS 300 F Sport,"35,711","21,458 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=653776834&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
71,Used 2022 Honda CR-V EX-L,"35,988","11,347 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=660593196&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
72,Certified 2019 Toyota RAV4 Adventure,"35,990","36,698 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=657573885&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
73,Certified 2020 Toyota RAV4 Limited,"40,995","12,602 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=662614378&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
74,Certified 2022 Toyota Highlander XLE,"42,955",289 miles,Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=662782878&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=3&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D3&clickType=listing
75,Certified 2022 Chevrolet Silverado 2500 High Country,"77,599","4,832 miles",American Chevrolet (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663624316&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=4&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D4&clickType=listing
76,Used 2013 Toyota Sienna XLE,"20,911","81,203 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663604434&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=4&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D4&clickType=listing
77,Used 2018 Audi A6 2.0T Premium,"30,917","25,844 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=652664523&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=4&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D4&clickType=listing
78,Used 2017 Lexus RX 350 FWD,"30,970","47,539 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=648064111&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=4&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D4&clickType=listing
79,Certified 2022 Chevrolet Silverado 2500 High Country,"77,599","4,832 miles",American Chevrolet (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663624316&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=5&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D5&clickType=listing
80,Used 2013 Toyota Sienna XLE,"20,911","81,203 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663604434&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=5&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D5&clickType=listing
81,Used 2018 Audi A6 2.0T Premium,"30,917","25,844 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=652664523&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=5&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D5&clickType=listing
82,Used 2017 Lexus RX 350 FWD,"30,970","47,539 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=648064111&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=5&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D5&clickType=listing
83,Used 2021 Subaru Forester Limited,"33,911","8,048 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=644199217&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=5&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D5&clickType=listing
